station,june_ratio,aug_ratio,cat0.0005g0.20s,cat0.0005g0.25s,glacier_prop,glacier_Area,temp_change,snow20,snow40,ice20,ice40,air_anom_mean,air_anom_max,surface_anom_mean,surface_anom_max
05AD003,0.6977034165659433,0.7028536672565483,"glacier, low snow","glacier, low snow",0.00558964943385906,3424647.555,6.540000915527344,0.03798990141861024,0.011300793459966338,0.4090909090909091,0.2727272727272727,8.967957496643066,12.389208793640137,7.869135856628418,12.421635627746582
05AD005,0.665643950063832,0.7289328540547402,"glacier, low snow","glacier, low snow",0.014808509312409693,4727313.227,6.649999618530273,0.04413731609451627,0.008916629514043692,0.3448275862068966,0.20689655172413793,8.809268951416016,12.353017807006836,5.899399280548096,9.41189956665039
05AD007,0.15764440385373868,0.7107745422998756,"no glacier, low snow","no glacier, low snow",0.00114159096095964,19459082.783,4.939998626708984,0.004895139648146307,0.0014826226683894907,0.5128205128205128,0.37606837606837606,9.457926750183104,12.875425338745115,10.699406623840332,15.629406929016112
05AD041,0.10792940192562496,0.40271476129861683,"glacier, low snow","glacier, low snow",0.007239528516480406,4727313.227,6.500001907348633,0.021489038419795964,0.004341219882787063,0.3448275862068966,0.20689655172413793,8.887348175048828,12.913599014282228,7.871528148651123,12.3140287399292
05AE006,0.13608681311454507,0.90349018466434,"no glacier, low snow","no glacier, low snow",0.0032057091614960567,11307122.001,5.969999313354492,0.011177953011950247,0.004430534102918462,0.6212121212121212,0.48484848484848486,9.504969596862791,13.601219177246094,10.555066108703612,17.807565689086914
05AG006,0.19025708891849719,0.7203926774280985,"no glacier, low snow","no glacier, low snow",7.067974434819749e-4,19459082.783,5.209999084472656,0.0030123552438427663,9.12371554395694e-4,0.5128205128205128,0.37606837606837606,9.357834815979004,12.741585731506348,12.02072048187256,17.038219451904297
05AJ001,0.2988096146016585,0.5010950658675507,"no glacier, low snow","no glacier, low snow",0.0013815052071141653,77873556.3,6.229999542236328,0.010932512287385772,0.004917415477306792,0.8833034111310593,0.8078994614003591,9.433201789855955,13.885701179504396,8.109577178955078,14.59957790374756
05BA001,1.8019249045991859,0.9711205506601934,"glacier, high snow","glacier, low snow",0.06592010023578411,27846853.514,11.919998168945313,0.3760627861347286,0.2446043165467626,1,0.9906542056074766,15.219816207885742,19.937314987182617,11.232802391052246,15.127802848815918
05BA002,1.378999854094601,0.8755721708114005,"glacier, low snow","glacier, low snow",0.018554224221474,5679885.916,11.869998931884766,0.26608695652173914,0.12,1,0.95,15.173688888549805,19.881187438964844,10.817971229553224,14.497971534729004
05BB001,1.5071862747192863,0.9246163753822993,"glacier, low snow","glacier, low snow",0.01982306625396515,43800923.009,9.930002212524414,0.1756996754240921,0.09216730969440871,0.9880239520958084,0.9610778443113772,13.602195739746094,17.743446350097656,9.7598114013671875,13.594097137451172
