site,date,lat,long,transect,distance,number_alive,number_dead,quadrat_size_cm,species,tide_height_m,bed_width_m,secondary_bed_width_m,secondary_bed_density,surveyer,photo_link,transect_video_link,shoreline_characterization,notes,percent_cover
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,1,28,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,The Pruth Bay cobble data also appear on the barnacle data sheet,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,2,80,2,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,3,96,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,4,128,1,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,5,68,1,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,6,20,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,7,10,1,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,8,17,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,9,48,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southshade,2021-08-19,51.653596,-128.128887,1,10,24,0,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,1,0,9,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,2,1,7,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,3,17,10,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,4,0,32,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
pruth_bay_cobble_southsun,2021-08-19,51.653596,-128.128887,2,5,9,9,10x10,Balanus_glandula,NA,NA,NA,NA,Alyssa Gehman/Chris Harley,NA,NA,NA,NA,NA
