Site,Date,Shore_level,Transect,Live,Dead,recent_empty,recent_hermit,old_empty,old_hermit,percent_dead,percent_recent_dead
1001_Steps,20-May-11,low,a,15,6,,,,,28.57142857,
1001_Steps,20-May-11,low,b,11,1,,,,,8.333333333,
1001_Steps,20-May-11,low,c,73,3,,,,,3.947368421,
1001_Steps,20-May-11,low,d,31,10,,,,,24.3902439,
1001_Steps,09-Apr-12,low,a,82,5,,,,,5.747126437,
1001_Steps,09-Apr-12,low,b,51,3,,,,,5.555555556,
1001_Steps,09-Apr-12,low,c,47,3,,,,,6,
1001_Steps,09-Apr-12,low,d,42,20,,,,,32.25806452,
1001_Steps,29-Apr-13,low,a,59,5,,,,,7.8125,
1001_Steps,29-Apr-13,low,b,50,17,,,,,25.37313433,
1001_Steps,29-Apr-13,low,c,215,21,,,,,8.898305085,
1001_Steps,29-Apr-13,low,d,144,59,,,,,29.06403941,
1001_Steps,15-May-14,low,a,2,13,,,,,86.66666667,
1001_Steps,15-May-14,low,b,0,31,,,,,100,
1001_Steps,15-May-14,low,c,18,11,,,,,37.93103448,
1001_Steps,15-May-14,low,d,13,33,,,,,71.73913043,
1001_Steps,11-Jul-21,low,a,17,41,11,21,3,6,70.68965517,65.30612245
1001_Steps,11-Jul-21,low,b,4,60,4,33,6,17,93.75,90.24390244
1001_Steps,11-Jul-21,low,c,29,75,3,28,2,42,72.11538462,51.66666667
1001_Steps,11-Jul-21,low,d,61,62,16,16,3,27,50.40650407,34.40860215
1001_Steps,11-Jul-21,mid,a,0,36,36,0,2,0,100,100
1001_Steps,11-Jul-21,mid,b,0,24,24,0,2,0,100,100
1001_Steps,11-Jul-21,mid,c,0,38,38,0,0,0,100,100
1001_Steps,11-Jul-21,mid,d,0,20,20,0,0,0,100,100
Blue_Heron,09-May-12,mid,a,137,1,,,,,0.724637681,
Blue_Heron,09-May-12,mid,b,93,1,,,,,1.063829787,
Blue_Heron,09-May-12,mid,c,89,2,,,,,2.197802198,
Blue_Heron,09-May-12,mid,d,138,0,,,,,0,
Blue_Heron,12-May-13,mid,a,36,9,,,,,20,
Blue_Heron,12-May-13,mid,b,74,5,,,,,6.329113924,
Blue_Heron,12-May-13,mid,c,79,6,,,,,7.058823529,
Blue_Heron,12-May-13,mid,d,138,4,,,,,2.816901408,
Blue_Heron,14-May-14,mid,a,25,1,,,,,3.846153846,
Blue_Heron,14-May-14,mid,b,38,12,,,,,24,
Blue_Heron,14-May-14,mid,c,37,0,,,,,0,
Blue_Heron,14-May-14,mid,d,49,9,,,,,15.51724138,
Waterloo,19-Apr-11,very_low,a,160,0,,,,,0,
Waterloo,19-Apr-11,very_low,b,209,0,,,,,0,
Waterloo,19-Apr-11,very_low,c,231,0,,,,,0,
Waterloo,19-Apr-11,very_low,d,235,0,,,,,0,
Waterloo,27-Apr-13,very_low,a,0,16,,,,,100,
Waterloo,27-Apr-13,very_low,b,0,30,,,,,100,
Waterloo,27-Apr-13,very_low,c,0,22,,,,,100,
Waterloo,27-Apr-13,very_low,d,0,25,,,,,100,
Waterloo,16-May-14,very_low,a,7,21,,,,,75,
Waterloo,16-May-14,very_low,b,5,14,,,,,73.68421053,
Waterloo,22-Jul-21,very_low,a,2,0,0,0,0,0,0,0
Waterloo,22-Jul-21,very_low,b,13,0,0,0,0,0,0,0
Waterloo,22-Jul-21,very_low,c,3,0,0,0,0,0,0,0
Waterloo,22-Jul-21,very_low,d,10,0,0,0,0,0,90.56603774,0
Blue_Heron,22-Jul-21,mid,a,16,96,25,41,13,17,69.23076923,80.48780488
Blue_Heron,22-Jul-21,mid,b,8,36,9,15,5,7,75.75757576,75
Blue_Heron,22-Jul-21,mid,c,6,25,2,9,4,10,88.88888889,64.70588235
Blue_Heron,22-Jul-21,mid,d,15,48,9,18,4,17,79.16666667,64.28571429
Cedar,22-Jul-21,mid,a,9,57,40,10,7,0,85.71428571,84.74576271
Cedar,22-Jul-21,mid,b,4,54,11,28,8,7,88.23529412,90.69767442
Cedar,22-Jul-21,mid,c,2,30,15,9,3,3,91.66666667,92.30769231
Cedar,22-Jul-21,mid,d,8,22,4,11,5,2,0,65.2173913
